Tiếng Việt,Tiếng BaNa
"Quyết định  về việc Ban hành đơn giá bồi thường thiệt hại về cây cối, hoa màu khi Nhà nước thu hồi đất trên địa bàn tỉnh Bình Định",KueâÊt ñinh lôêm tôdrong aên leêch ñôn giaê ‘boâi thöông hiong hiôêt lôêm ‘long pôtaêm jônang kôpal thu ‘yoêk teh lôêm tôring tinh ‘Binh Ñinh
Căn cứ Luật Tổ chức HĐND và UBND ngày 26/11/2003,Kaên köê Luaât Toâ chöêk HÑND oeêng UBND ‘naêr ‘baêl jiêt drôêu kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng le peâng
Căn cứ Luật Ban hành văn bản quy phạm pháp luật của Hội đồng nhân dân và Uỷ ban nhân dân ngày 03/12/2004,Kaên köê Luaât aên leêch vaên ‘ban kuy pham phap luaât ñôêng HÑND oeêng UBND ‘naêr peâng kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng le puoân
Căn cứ Luật Đất đai ngày 26/11/2003,Kaên köê Luaât teh ‘naêr ‘baêl jiêt drôêu kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng le peâng
"Căn cứ Nghị định số 197/2004/NĐ-CP ngày 03/12/2004 của Chính phủ về bồi thường, hỗ trợ và tái định cư khi Nhà nước thu hồi đất","Kaên köê Nghiê ñinh ksoâÊ minh tôxiênh tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng le puoân/NÑ-CP ‘naêr peâng kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng le puoân ñôêng kôpal teh ñak lôêm ‘boâi thöông, tôguêm oeêng taêi ñinh kö jônang kôpal thu ‘yoêk the"
"Căn cứ Nghị định số 84/2007/NĐ-CP ngày 25/5/2007 của Chính phủ quy định bổ sung về việc cấp giấy chứng nhận quyền sử dụng đất, thu hồi đất, thực hiện quyền sử dụng đất, trình tự, thủ tục bồi thường, hỗ trợ, tái định cư khi Nhà nước thu hồi đất và giải quyết khiếu nại về đất đai","Kaên köê Nghiê ñinh ksoâÊ minh tôxiênh tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng le puoân/NÑ-CP ‘naêr ‘baêl jiêt pôñaêm kheêi pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng le tôpôêh ñôêng kôpal teh ñak kuy ñinh tôguêm lôêm tôdrong kôêp hla chöêng nhaân kueân chaê yuoâ teh, thu hoâi teh, pôm kueân chaê yuoâ teh, trinh tö, tôdrong ‘boâi thöông, tôguêm, taêi ñinh kö jônang kôpal thu ‘yoêk teh oeêng tôguêm khieâÊu nai tôdrong the"
"Căn cứ Nghị định số 69/2009/NĐ-CP ngày 13/8/2009 của Chính phủ quy định bổ sung về quy hoạch sử dụng đất, giá đất, thu hồi đất, bồi thường, hỗ trợ và tái định cư","Kaên köê Nghiê ñinh ksoâÊ drôêu jiêt tôxiênh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/NÑ-CP ‘naêr minh jiêt peâng kheêi tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng kôpal teh ñak kuy ñinh tôguêm lôêm kuy hoach chaê yuoâ teh, giaê teh, thu hoâi teh, ‘boâi thöông, tôguêm oeêng taêi ñinh kö"
"Căn cứ Thông tư 14/2009/TT-BTNMT ngày 01/10/2009 của Bộ Tài nguyên và Môi trường quy định chi tiết về bồi thường, hỗ trợ, tái định cư và trình tự thu hồi đất, giao đất, cho thuê đất","Kaên köê Thoâng tö minh jiêt puoân sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/TT-BTTMT ‘naêr minh kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñông ‘Boâ Tai ngueân oeêng Moâi tröông kuy ñinh chi tieât lôêm ‘boâi thöông, tôguêm, taêi ñinh kö oeêng tôdrong thu ‘yoêk teh, pôjao teh, aên thueâ the"
Xét đề nghị của Giám đốc Sở Tài chính,Xeêt pôtho khan ñôêng Giam ñoâk Sô Tai chiênh
"Ban hành kèm theo Quyết định này đơn giá bồi thường thiệt hại về cây cối, hoa màu khi Nhà nước thu hồi đất trên địa bàn tỉnh Bình Định (chi tiết có các phụ lục kèm theo)",AÊn leêch pôteêp adriêng KueâÊt ñinh anu ñôn giaê ‘boâi thöông hiong hiôt lôêm ‘long pôtaêm jônang kôpal thu ‘yoêk teh lôêm tôring tinh ‘Binh Ñinh (chi tieâÊt ôêi rim phu luêk pôteêp adriêng)
